iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
CRI,North America,Costa Rica,2022/6/15,904934,0,0,8525,0,0,176089.641,0,0,1658.866,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,,,,
CIV,Africa,Cote d'Ivoire,2022/6/15,82580,88,33.286,800,1,0.143,3052.456,3.253,1.23,29.571,0.037,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27053629,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,,,,
HRV,Europe,Croatia,2022/6/15,1140625,547,274.714,16022,2,2.143,279451.458,134.014,67.305,3925.367,0.49,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,,,,
CUB,North America,Cuba,2022/6/15,1105664,21,21,8529,0,0,97695.091,1.856,1.856,753.612,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,,,,
CUW,North America,Curacao,2022/6/15,44314,187,26.714,278,1,0.143,268902.158,1134.736,162.105,1686.934,6.068,0.867,,,,,,,,,,,,,,,,,,,253698,108223,99485,45990,32,34,153.95,65.67,60.37,27.91,206,5,0.003,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,,,
CYP,Europe,Cyprus,2022/6/15,493984,,,1068,0,0.143,551318.352,,,1191.958,0,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896005,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,,,,
CZE,Europe,Czechia,2022/6/15,3924356,413,358.857,40303,0,1.143,365922.57,38.51,33.461,3758.012,0,0.107,,7,0.653,98,9.138,,,,,,,,,,,,,,17655808,6964284,6877668,4224423,1299,1113,164.63,64.94,64.13,39.39,104,68,0.001,,10724553,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,,,,
COD,Africa,Democratic Republic of Congo,2022/6/15,89932,,,1345,0,1,973.522,,,14.56,0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,,,,
DNK,Europe,Denmark,2022/6/15,3148183,1205,944.571,6419,2,3.857,541548.16,207.283,162.484,1104.192,0.344,0.664,,,,219,37.672,,,,,,,,,,,,,,13226823,4833206,4796072,3644334,2,524,227.53,83.14,82.5,62.69,90,30,0.001,,5813302,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,,,,
DJI,Africa,Djibouti,2022/6/15,15690,0,0.571,189,0,0,15655.605,0,0.57,188.586,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002197,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,,,,
DMA,North America,Dominica,2022/6/15,14717,0,60.286,67,0,0,203915.646,0,835.306,928.338,0,0,,,,,,,,,,,,,,,,,,,66872,32830,30396,3646,,10,92.66,45.49,42.12,5.05,139,5,0.007,,72172,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,,,,,,,
DOM,North America,Dominican Republic,2022/6/15,593324,,,4382,0,0.286,54166.468,,,400.047,0,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10953714,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,,,,
ECU,South America,Ecuador,2022/6/15,892176,1324,850.429,35662,3,1.857,49874.349,74.014,47.541,1993.574,0.168,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17888474,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,,,,,,,
EGY,Africa,Egypt,2022/6/15,515645,0,0,24720,0,0.143,4945.84,0,0,237.103,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,,,
SLV,North America,El Salvador,2022/6/15,164134,0,0,4135,0,0.143,25179.719,0,0,634.348,0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6518500,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,,,,
GNQ,Africa,Equatorial Guinea,2022/6/15,15945,0,2,183,0,0,10997.378,0,1.379,126.216,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,,,,
ERI,Africa,Eritrea,2022/6/15,9773,0,0.714,103,0,0,2713.62,0,0.198,28.599,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,,,,
EST,Europe,Estonia,2022/6/15,578494,,,2586,,,436537.306,,,1951.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325188,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,,,,
SWZ,Africa,Eswatini,2022/6/15,72957,22,25.143,1411,1,0.143,62230.407,18.765,21.446,1203.546,0.853,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172369,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,,,,
ETH,Africa,Ethiopia,2022/6/15,481225,775,689.571,7518,1,0.286,4082.46,6.575,5.85,63.779,0.008,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117876226,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,,,,
OWID_EUR,,Europe,2022/6/15,201018817,255663,191285.714,1850555,451,436.286,268396.198,341.356,255.401,2470.823,0.602,0.583,,,,,,,,,,,,,,,,,,,1288449020,514080862,493070613,303099089,,,172.03,68.64,65.83,40.47,,,,,748962983,,,,,,,,,,,,,,,,,,,,,
OWID_EUN,,European Union,2022/6/15,144869421,225082,172177.286,1099018,295,314.857,323955.027,503.325,385.021,2457.609,0.66,0.704,,,,,,,,,,,,,,,,,,,878744725,337374429,328516578,237362525,,,196.5,75.44,73.46,53.08,,,,,447189915,,,,,,,,,,,,,,,,,,,,,
